"Rank","Name","W","L","Pct"
"318","Dartmouth","7","20","25.9"
"","UC Riverside","7","20","25.9"
"320","Detroit Mercy","8","23","25.8"
"","Alabama St.","8","23","25.8"
"","Missouri","8","23","25.8"
"323","Central Ark.","8","24","25.0"
"","Marist","8","24","25.0"
"325","Coppin St.","8","25","24.2"
"326","South Fla.","7","22","24.1"
"","McNeese","7","22","24.1"
"328","Florida A&M","7","23","23.3"
"329","FIU","7","24","22.6"
"","Drake","7","24","22.6"
"331","Ark.-Pine Bluff","7","25","21.9"
"","Mississippi Val.","7","25","21.9"
"","Maine","7","25","21.9"
"334","UC Santa Barbara","6","22","21.4"
"335","Central Conn. St.","6","23","20.7"
"336","SIUE","6","24","20.0"
"","Longwood","6","24","20.0"
"","Tulane","6","24","20.0"
"","VMI","6","24","20.0"
"340","Chicago St.","6","25","19.4"
"341","Southern Utah","6","26","18.8"
"342","Presbyterian","5","25","16.7"
"343","Idaho St.","5","26","16.1"
"344","Oregon St.","5","27","15.6"
"345","St. Francis Brooklyn","4","27","12.9"
"346","N.C. A&T","3","29","9.4"
"347","Alabama A&M","2","27","6.9"
Reclassifying
"NR","Grand Canyon","22","9","71.0"
"NR","Abilene Christian","13","16","44.8"
"NR","Incarnate Word","12","17","41.4"
"NR","UMass Lowell","11","20","35.5"

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/08/2017


"Rank","Name","GM","W-L","PTS","PPG"
"1","UCLA","31","28-3","2831","91.3"
"2","The Citadel","33","12-21","2964","89.8"
"3","Central Mich.","32","16-16","2826","88.3"
"4","Fort Wayne","31","19-12","2719","87.7"
"5","Kentucky","31","26-5","2690","86.8"
"6","Marshall","32","18-14","2768","86.5"
"7","Portland St.","30","15-15","2573","85.8"
"8","Savannah St.","29","13-16","2485","85.7"
"9","Oklahoma St.","31","20-11","2654","85.6"
"10","North Carolina","32","26-6","2726","85.2"
"11","UNCW","34","29-5","2896","85.2"
"12","Lipscomb","33","20-13","2804","85.0"
"13","Gonzaga","33","32-1","2791","84.6"
"14","Omaha","32","18-14","2685","83.9"
"15","West Virginia","31","24-7","2599","83.8"
"16","Creighton","31","23-8","2587","83.5"
"17","Florida St.","31","24-7","2574","83.0"
"18","Kansas","31","28-3","2565","82.7"
"19","Marquette","30","19-11","2482","82.7"
"20","Wake Forest","32","19-13","2645","82.7"
"21","Louisiana","32","21-11","2628","82.1"
"22","Wichita St.","34","30-4","2790","82.1"
"23","William & Mary","31","17-14","2534","81.7"
"24","Rice","32","22-10","2613","81.7"
"25","UMBC","30","18-12","2443","81.4"
"26","Monmouth","33","27-6","2678","81.2"
"27","Arkansas","31","23-8","2499","80.6"
