"Rank","Name","W","L","Pct"
"162","Niagara","33","10-23","428","13.0"
"163","La Salle","29","15-14","377","13.0"
"","Purdue","31","25-6","403","13.0"
"165","Kansas","31","28-3","404","13.0"
"166","Cleveland St.","31","9-22","405","13.1"
"","Southern Miss.","31","9-22","405","13.1"
"168","New Mexico","30","17-13","392","13.1"
"","UTEP","30","14-16","392","13.1"
"170","Campbell","34","17-17","445","13.1"
"171","Penn St.","32","15-17","419","13.1"
"","Maine","32","7-25","419","13.1"
"","South Ala.","32","14-18","419","13.1"
"","St. John's (NY)","32","14-18","419","13.1"
"175","San Jose St.","29","14-15","380","13.1"
"","CSUN","29","11-18","380","13.1"
"177","La.-Monroe","32","9-23","420","13.1"
"","TCU","32","18-14","420","13.1"
"179","High Point","31","15-16","407","13.1"
"180","Mt. St. Mary's","34","19-15","447","13.1"
"181","Winthrop","32","26-6","421","13.2"
"182","UT Arlington","31","24-7","408","13.2"
"183","Loyola Marymount","30","15-15","395","13.2"
"","VMI","30","6-24","395","13.2"
"185","Western Ill.","28","8-20","369","13.2"
"186","American","30","8-22","396","13.2"
"187","Prairie View","33","13-20","436","13.2"
"","Canisius","33","18-15","436","13.2"
"189","Ohio St.","32","17-15","423","13.2"
"190","Kansas St.","31","19-12","410","13.2"
"191","Alabama A&M","29","2-27","384","13.2"
"192","Nebraska","31","12-19","411","13.3"
"","Georgia","31","18-13","411","13.3"
"194","Bucknell","34","26-8","451","13.3"
"195","Saint Louis","32","12-20","425","13.3"
"","Drexel","32","9-23","425","13.3"
"","Kent St.","32","19-13","425","13.3"
"198","Fordham","31","13-18","412","13.3"
"","George Washington","31","18-13","412","13.3"
"","FIU","31","7-24","412","13.3"
"201","Fairleigh Dickinson","30","11-19","399","13.3"
"202","Rutgers","32","15-17","426","13.3"
"203","Chattanooga","31","19-12","413","13.3"
"204","Fresno St.","30","19-11","400","13.3"
"205","Toledo","32","17-15","428","13.4"
"","North Carolina St.","32","15-17","428","13.4"
"","Bryant","32","12-20","428","13.4"
"208","Texas","32","11-21","429","13.4"
"209","Yale","27","17-10","362","13.4"
"210","Baylor","31","25-6","416","13.4"
"211","North Dakota","28","19-9","376","13.4"
"212","Fairfield","30","16-14","403","13.4"
"213","Lamar University","32","19-13","430","13.4"
"","Northern Ill.","32","15-17","430","13.4"
"215","Oklahoma St.","31","20-11","417","13.5"
"216","Denver","30","16-14","404","13.5"
"","Morehead St.","30","14-16","404","13.5"
"","New Mexico St.","30","25-5","404","13.5"
"219","Kennesaw St.","32","14-18","431","13.5"
"","UC Irvine","32","19-13","431","13.5"
"221","Houston Baptist","29","17-12","391","13.5"
"222","Utah","30","20-10","405","13.5"
"","Louisiana","32","21-11","432","13.5"
"224","South Carolina","31","22-9","419","13.5"
"","Idaho St.","31","5-26","419","13.5"
"226","Harvard","27","18-9","365","13.5"
"227","Northern Ky.","34","24-10","460","13.5"
"228","Wyoming","32","18-14","433","13.5"
"","Grambling","32","16-16","433","13.5"
"230","Tennessee Tech","32","12-20","434","13.6"
"","Auburn","32","18-14","434","13.6"
"232","Florida A&M","30","7-23","407","13.6"
"233","Mississippi St.","31","16-15","421","13.6"
"234","UNCG","34","25-9","462","13.6"
"235","UAB","32","17-15","435","13.6"
"236","Tulane","30","6-24","408","13.6"
"","Washington","30","9-21","408","13.6"
"238","BYU","33","22-11","449","13.6"
"239","Fort Wayne","31","19-12","422","13.6"
"240","Jacksonville St.","34","20-14","463","13.6"
"241","Delaware St.","32","10-22","436","13.6"
"","Oakland","32","24-8","436","13.6"
"243","Seton Hall","30","20-10","409","13.6"
"244","North Texas","30","8-22","410","13.7"
"","Coppin St.","33","8-25","451","13.7"
"246","Chicago St.","31","6-25","424","13.7"
"247","Georgia Tech","32","17-15","438","13.7"
"248","Samford","34","19-15","466","13.7"
"249","Southern U.","32","15-17","440","13.8"
"","Southern Utah","32","6-26","440","13.8"
"251","Hawaii","29","14-15","399","13.8"
"","A&M-Corpus Christi","29","19-10","399","13.8"
"253","Iowa","31","18-13","427","13.8"
"254","Appalachian St.","30","9-21","414","13.8"
"255","Oklahoma","31","11-20","428","13.8"
"256","Sam Houston St.","32","20-12","442","13.8"
"257","Omaha","32","18-14","444","13.9"
"258","McNeese","29","7-22","403","13.9"
"259","Georgia St.","30","19-11","418","13.9"
"260","Eastern Ky.","31","12-19","432","13.9"
"261","Central Ark.","32","8-24","446","13.9"
"262","Green Bay","31","18-13","433","14.0"
"263","UC Riverside","27","7-20","378","14.0"
"","Siena","34","17-17","476","14.0"
"265","East Carolina","31","14-17","435","14.0"
"266","Northern Colo.","29","11-18","407","14.0"
"267","Lehigh","32","20-12","450","14.1"
"268","NJIT","31","11-20","436","14.1"
"269","Wagner","30","16-14","422","14.1"
"270","DePaul","32","9-23","451","14.1"
"271","Alabama","30","17-13","424","14.1"
"","Alcorn","30","17-13","424","14.1"
"273","James Madison","33","10-23","467","14.2"
"274","Texas A&M","30","16-14","425","14.2"
"275","Morgan St.","29","14-15","411","14.2"
"276","Georgetown","32","14-18","454","14.2"
"","Duquesne","32","10-22","454","14.2"
"278","UC Davis","31","19-12","441","14.2"
"279","Hampton","29","14-15","413","14.2"
"","Central Conn. St.","29","6-23","413","14.2"
"281","Michigan St.","31","18-13","443","14.3"
"282","The Citadel","33","12-21","473","14.3"
"283","Boston U.","32","18-14","459","14.3"
"284","Gardner-Webb","33","19-14","474","14.4"
"285","Brown","30","13-17","431","14.4"
"286","Mississippi Val.","32","7-25","460","14.4"
"","LIU Brooklyn","32","20-12","460","14.4"
"288","Long Beach St.","32","14-18","461","14.4"
"289","Hartford","32","9-23","462","14.4"
"290","Cornell","29","8-21","419","14.4"
"291","Quinnipiac","31","10-21","448","14.5"
"292","UMKC","31","16-15","449","14.5"
"293","Navy","32","16-16","464","14.5"
"294","Northern Ariz.","32","9-23","465","14.5"
"295","SIUE","30","6-24","436","14.5"
"","Lafayette","30","9-21","436","14.5"
"297","LSU","31","10-21","451","14.5"
"","Nicholls St.","31","14-17","451","14.5"
"","Norfolk St.","31","16-15","451","14.5"
"","Ole Miss","31","19-12","451","14.5"
"","Detroit Mercy","31","8-23","451","14.5"
"302","N.C. A&T","32","3-29","466","14.6"
"303","Rider","33","18-15","481","14.6"
"304","Seattle U","29","13-16","423","14.6"
"305","Miami (OH)","32","11-21","467","14.6"
"","Boston College","32","9-23","467","14.6"
"307","Buffalo","31","17-14","453","14.6"
"308","Colgate","32","10-22","470","14.7"
"","Radford","32","14-18","470","14.7"
"310","ETSU","34","27-7","502","14.8"
"311","Ball St.","31","20-11","458","14.8"
"312","Massachusetts","32","15-17","473","14.8"
"313","Tulsa","30","14-16","444","14.8"
"314","Wright St.","32","20-12","474","14.8"
"315","UCF","30","20-10","445","14.8"
"316","Dartmouth","27","7-20","401","14.9"
"317","Savannah St.","29","13-16","431","14.9"
"318","Saint Francis (PA)","32","16-16","476","14.9"
"319","Utah Valley","29","14-15","432","14.9"
"320","CSU Bakersfield","29","21-8","433","14.9"
"321","Howard","33","10-23","494","15.0"
"322","Loyola Maryland","31","15-16","465","15.0"
"323","Rice","32","22-10","481","15.0"
"324","Presbyterian","30","5-25","451","15.0"
"325","Robert Morris","33","14-19","497","15.1"
"326","Tennessee St.","30","17-13","452","15.1"
"327","Army West Point","32","13-19","483","15.1"
"328","Bradley","33","13-20","499","15.1"
"329","Northwestern St.","29","13-16","439","15.1"
"330","Lipscomb","33","20-13","500","15.2"
"331","UT Martin","33","21-12","501","15.2"
"332","Longwood","30","6-24","456","15.2"
"333","Indiana","31","17-14","472","15.2"
"334","Oregon St.","32","5-27","491","15.3"
"335","Cal St. Fullerton","29","16-13","447","15.4"
"336","Alabama St.","31","8-23","488","15.7"
"337","UTRGV","31","10-21","491","15.8"
"338","North Florida","34","15-19","541","15.9"
"339","Southeastern La.","32","16-16","512","16.0"
"340","Ill.-Chicago","33","15-18","531","16.1"
"341","Western Caro.","32","9-23","516","16.1"
"","Sacred Heart","32","13-19","516","16.1"
"343","South Fla.","29","7-22","468","16.1"
"344","Manhattan","32","10-22","530","16.6"
"345","New Orleans","29","18-11","496","17.1"
"346","SFA","30","17-13","527","17.6"
"347","Ark.-Pine Bluff","32","7-25","578","18.1"
Reclassifying
"NR","Grand Canyon","31","22-9","397","12.8"
"NR","Incarnate Word","29","12-17","391","13.5"
"NR","Abilene Christian","29","13-16","412","14.2"
"NR","UMass Lowell","31","11-20","474","15.3"

NCAA Men's Basketball
Division ITurnover Margin
Through Games 03/08/2017


"Rank","Name","GM","W-L","Opp TO","TO","Ratio"
"1","West Virginia","31","24-7","657","383","8.8"
"2","UNC Asheville","32","23-9","532","369","5.1"
"3","Holy Cross","32","15-17","508","351","4.9"
"4","Portland St.","30","15-15","508","361","4.9"
"5","Iowa St.","30","20-10","448","305","4.8"
"6","Fordham","31","13-18","546","412","4.3"
"7","Eastern Mich.","32","16-16","522","386","4.3"
"8","UNCW","34","29-5","498","354","4.2"
"9","South Carolina","31","22-9","539","419","3.9"
"10","Houston","30","21-9","414","300","3.8"
"11","Grambling","32","16-16","553","433","3.8"
"12","Cincinnati","31","27-4","436","320","3.7"
"13","Liberty","32","19-13","454","336","3.7"
"14","Princeton","27","21-6","368","273","3.5"
"15","Virginia","31","22-9","403","295","3.5"
"16","Michigan","31","20-11","397","293","3.4"
"17","Butler","30","23-7","403","304","3.3"
"18","Southeast Mo. St.","33","15-18","518","410","3.3"
"19","Florida","31","24-7","469","369","3.2"
"20","The Citadel","33","12-21","579","473","3.2"
"21","South Ala.","32","14-18","520","419","3.2"
"22","Notre Dame","31","23-8","395","298","3.1"
"23","Eastern Ill.","29","14-15","458","370","3.0"
"24","Arizona St.","32","15-17","432","337","3.0"
"25","Dayton","30","24-6","452","364","2.9"
"26","Clemson","32","17-15","435","344","2.8"
"","Sam Houston St.","32","20-12","533","442","2.8"
"28","Florida St.","31","24-7","450","362","2.8"
"","Middle Tenn.","31","27-4","415","327","2.8"
"30","Wichita St.","34","30-4","475","379","2.8"
"31","Kentucky","31","26-5","457","371","2.8"
"","Stony Brook","31","18-13","404","318","2.8"
"33","Louisville","31","24-7","431","349","2.6"
"34","Lamar University","32","19-13","514","430","2.6"
"35","Loyola Chicago","32","18-14","459","377","2.6"
"36","Cleveland St.","31","9-22","484","405","2.5"
"37","Texas Tech","32","18-14","435","354","2.5"
"38","Texas St.","30","18-12","418","344","2.5"
"39","UNI","30","14-16","415","342","2.4"
"40","Richmond","30","19-11","429","357","2.4"
"41","A&M-Corpus Christi","29","19-10","467","399","2.3"
"42","St. John's (NY)","32","14-18","494","419","2.3"
"43","VCU","31","24-7","468","398","2.3"
"","Kansas St.","31","19-12","480","410","2.3"
"45","Saint Peter's","32","19-13","426","354","2.3"
"46","Rhode Island","30","21-9","404","338","2.2"
"47","Wisconsin","31","23-8","409","342","2.2"
"48","Texas Southern","32","21-11","425","356","2.2"
"49","Col. of Charleston","34","25-9","426","353","2.1"
"50","St. Bonaventure","30","19-11","441","378","2.1"
"51","Memphis","31","19-12","423","358","2.1"
"52","Santa Clara","33","17-16","410","341","2.1"
"","Monmouth","33","27-6","482","413","2.1"
"54","Oregon","31","27-4","435","371","2.1"
"55","North Dakota","28","19-9","433","376","2.0"
"56","Bowling Green","32","13-19","472","408","2.0"
"","Prairie View","33","13-20","502","436","2.0"
"58","Oklahoma St.","31","20-11","478","417","2.0"
"59","Villanova","31","28-3","407","347","1.9"
"60","Ga. Southern","31","18-13","430","371","1.9"
"61","CSU Bakersfield","29","21-8","488","433","1.9"
"62","Canisius","33","18-15","497","436","1.8"
"63","Louisiana Tech","31","22-9","438","382","1.8"
"64","South Dakota","33","22-11","449","390","1.8"
"65","Montana","31","16-15","391","336","1.8"
"","Missouri","31","8-23","430","375","1.8"
"67","Old Dominion","30","19-11","390","337","1.8"
"68","Mt. St. Mary's","34","19-15","507","447","1.8"
"69","Jacksonville","32","17-15","469","413","1.8"
"70","St. Francis Brooklyn","31","4-27","433","379","1.7"
"71","Loyola Marymount","30","15-15","447","395","1.7"
"72","Penn St.","32","15-17","474","419","1.7"
"73","Vermont","33","28-5","434","378","1.7"
"74","UMES","32","13-19","461","407","1.7"
"","Bethune-Cookman","32","10-22","467","413","1.7"
"","North Carolina","32","26-6","438","384","1.7"
"77","Northwestern","31","21-10","371","319","1.7"
"","Providence","31","20-11","433","381","1.7"
"79","Southern Ill.","33","17-16","453","398","1.7"
"80","Creighton","31","23-8","432","381","1.6"
"81","Louisiana","32","21-11","483","432","1.6"
"","Jackson St.","32","14-18","441","390","1.6"
"83","Chattanooga","31","19-12","462","413","1.6"
"84","Charlotte","30","13-17","413","366","1.6"
"85","Robert Morris","33","14-19","547","497","1.5"
"86","Auburn","32","18-14","482","434","1.5"
"","Northern Ill.","32","15-17","478","430","1.5"
"88","Columbia","27","11-16","387","347","1.5"
"89","Stanford","31","14-17","444","399","1.5"
"90","UMBC","30","18-12","393","350","1.4"
"","Brown","30","13-17","474","431","1.4"
"92","N.C. Central","31","23-8","424","380","1.4"
"93","Fresno St.","30","19-11","442","400","1.4"
"","Cal Poly","30","11-19","360","318","1.4"
"95","Syracuse","32","18-14","431","388","1.3"
"96","Fla. Atlantic","30","10-20","388","348","1.3"
"97","Tennessee","31","16-15","432","391","1.3"
"","Southern California","31","23-8","393","352","1.3"
"99","Arkansas","31","23-8","402","363","1.3"
"100","Morehead St.","30","14-16","441","404","1.2"
"101","Gonzaga","33","32-1","413","373","1.2"
"102","Minnesota","31","23-8","401","365","1.2"
"","UT Arlington","31","24-7","444","408","1.2"
"104","IUPUI","32","14-18","438","401","1.2"
"","Omaha","32","18-14","481","444","1.2"
"106","Austin Peay","30","11-19","407","373","1.1"
"107","SMU","31","27-4","368","333","1.1"
"","Temple","31","16-15","390","355","1.1"
"109","Kent St.","32","19-13","461","425","1.1"
"","Montana St.","32","16-16","429","393","1.1"
"","Central Mich.","32","16-16","398","362","1.1"
"112","Iona","34","22-12","449","411","1.1"
"113","Green Bay","31","18-13","467","433","1.1"
"114","Tennessee Tech","32","12-20","469","434","1.1"
"115","Charleston So.","31","12-19","391","358","1.1"
"","San Diego St.","31","18-13","399","366","1.1"
"117","Savannah St.","29","13-16","461","431","1.0"
"118","Navy","32","16-16","496","464","1.0"
"","Marquette","30","19-11","398","368","1.0"
"120","Duke","32","24-8","395","364","1.0"
"121","Murray St.","33","16-17","434","403","0.9"
"122","Penn","27","13-14","371","346","0.9"
"123","Evansville","33","16-17","419","389","0.9"
"124","Winthrop","32","26-6","450","421","0.9"
"125","San Jose St.","29","14-15","406","380","0.9"
"126","Oakland","32","24-8","464","436","0.9"
"127","Weber St.","29","17-12","358","333","0.9"
"128","Ohio","29","19-10","392","368","0.8"
"129","Marshall","32","18-14","427","401","0.8"
"130","ETSU","34","27-7","529","502","0.8"
"131","Arizona","31","27-4","378","354","0.8"
"","Nicholls St.","31","14-17","475","451","0.8"
"133","UCLA","31","28-3","377","354","0.7"
"","Western Mich.","31","16-15","412","389","0.7"
"135","Fort Wayne","31","19-12","444","422","0.7"
"136","Iowa","31","18-13","448","427","0.7"
"","Saint Joseph's","31","11-20","392","371","0.7"
"138","Gardner-Webb","33","19-14","496","474","0.7"
"139","Bucknell","34","26-8","473","451","0.6"
"140","Tennessee St.","30","17-13","471","452","0.6"
"","Georgia St.","30","19-11","437","418","0.6"
"","North Dakota St.","30","19-11","367","348","0.6"
"","Florida A&M","30","7-23","426","407","0.6"
"144","Delaware St.","32","10-22","456","436","0.6"
"145","Mississippi St.","31","16-15","440","421","0.6"
"146","Furman","32","21-11","432","413","0.6"
"147","San Francisco","32","20-12","422","404","0.6"
"148","Colorado St.","31","21-10","363","346","0.5"
"149","Tulane","30","6-24","424","408","0.5"
"150","Miami (OH)","32","11-21","484","467","0.5"
"","Air Force","32","12-20","402","385","0.5"
"152","Little Rock","32","15-17","428","412","0.5"
"153","FGCU","33","26-7","426","410","0.5"
"154","UTRGV","31","10-21","505","491","0.5"
"155","Boston U.","32","18-14","473","459","0.4"
"156","New Mexico","30","17-13","405","392","0.4"
"157","Lipscomb","33","20-13","514","500","0.4"
"158","Morgan St.","29","14-15","423","411","0.4"
"159","High Point","31","15-16","419","407","0.4"
"160","Fairleigh Dickinson","30","11-19","410","399","0.4"
"161","Kansas","31","28-3","415","404","0.4"
"","Nebraska","31","12-19","422","411","0.4"
"163","Youngstown St.","34","13-21","418","406","0.4"
"164","Hampton","29","14-15","423","413","0.3"
"165","Towson","33","20-13","437","426","0.3"
"166","Illinois St.","33","27-6","422","412","0.3"
"167","Illinois","31","18-13","392","383","0.3"
"","Nevada","31","25-6","355","346","0.3"
"169","Stetson","32","11-21","370","362","0.3"
"170","Hawaii","29","14-15","406","399","0.2"
"171","UMKC","31","16-15","456","449","0.2"
"172","Arkansas St.","32","20-12","421","414","0.2"
"173","Wofford","33","16-17","412","405","0.2"
"174","UNCG","34","25-9","469","462","0.2"
"175","South Carolina St.","31","11-20","389","383","0.2"
"176","Houston Baptist","29","17-12","396","391","0.2"
"177","New Mexico St.","30","25-5","409","404","0.2"
"178","Detroit Mercy","31","8-23","456","451","0.2"
"179","Indiana St.","31","11-20","400","396","0.1"
"180","TCU","32","18-14","419","420","0.0"
"181","Davidson","29","15-14","352","353","0.0"
"182","Coppin St.","33","8-25","449","451","-0.1"
"183","Hofstra","32","15-17","339","341","-0.1"
"184","Oral Roberts","30","8-22","358","360","-0.1"
"185","Pacific","33","11-22","383","386","-0.1"
"186","Valparaiso","32","24-8","410","413","-0.1"
"187","UC Davis","31","19-12","438","441","-0.1"
"188","Mississippi Val.","32","7-25","456","460","-0.1"
"189","Drake","31","7-24","385","389","-0.1"
"","Eastern Ky.","31","12-19","428","432","-0.1"
"191","Albany (NY)","33","21-12","390","395","-0.2"
"","Troy","33","19-14","413","418","-0.2"
"193","UTSA","32","14-18","399","405","-0.2"
"","Colorado","32","19-13","390","396","-0.2"
"195","VMI","30","6-24","389","395","-0.2"
"196","CSUN","29","11-18","374","380","-0.2"
"197","DePaul","32","9-23","443","451","-0.3"
"198","Milwaukee","35","11-24","410","419","-0.3"
"199","Akron","31","24-7","353","361","-0.3"
"","Virginia Tech","31","22-9","365","373","-0.3"
"201","Wake Forest","32","19-13","369","378","-0.3"
"202","Ole Miss","31","19-12","442","451","-0.3"
"203","Rutgers","32","15-17","416","426","-0.3"
"204","Alabama","30","17-13","414","424","-0.3"
"205","Massachusetts","32","15-17","462","473","-0.3"
"206","Wright St.","32","20-12","462","474","-0.4"
"207","Oklahoma","31","11-20","416","428","-0.4"
"208","North Texas","30","8-22","398","410","-0.4"
"209","Xavier","32","20-12","393","406","-0.4"
"210","Idaho","29","17-12","360","373","-0.4"
"211","Maryland","31","24-7","386","401","-0.5"
"212","Long Beach St.","32","14-18","445","461","-0.5"
"213","Northwestern St.","29","13-16","424","439","-0.5"
"214","UC Santa Barbara","28","6-22","326","341","-0.5"
"215","Idaho St.","31","5-26","402","419","-0.5"
"","Loyola Maryland","31","15-16","448","465","-0.5"
"217","UC Riverside","27","7-20","363","378","-0.6"
"218","La Salle","29","15-14","360","377","-0.6"
"219","Drexel","32","9-23","405","425","-0.6"
"220","Harvard","27","18-9","348","365","-0.6"
"221","UTEP","30","14-16","373","392","-0.6"
"222","NJIT","31","11-20","416","436","-0.6"
"223","McNeese","29","7-22","384","403","-0.7"
"224","Elon","32","18-14","353","374","-0.7"
"","Bryant","32","12-20","407","428","-0.7"
"226","New Orleans","29","18-11","475","496","-0.7"
"","Central Conn. St.","29","6-23","392","413","-0.7"
"228","Miami (FL)","31","21-10","369","392","-0.7"
"229","Binghamton","32","12-20","373","397","-0.8"
"230","Southeastern La.","32","16-16","486","512","-0.8"
"","LIU Brooklyn","32","20-12","434","460","-0.8"
"232","Fairfield","30","16-14","378","403","-0.8"
"233","Georgia Tech","32","17-15","411","438","-0.8"
"234","Utah Valley","29","14-15","407","432","-0.9"
"235","SFA","30","17-13","500","527","-0.9"
"236","Texas","32","11-21","400","429","-0.9"
"237","Belmont","28","22-6","327","353","-0.9"
"238","Seattle U","29","13-16","396","423","-0.9"
"239","Campbell","34","17-17","413","445","-0.9"
"240","Lehigh","32","20-12","419","450","-1.0"
"241","Kennesaw St.","32","14-18","399","431","-1.0"
"","Boise St.","29","19-10","343","372","-1.0"
"","Northeastern","31","15-16","359","390","-1.0"
"","Purdue","31","25-6","372","403","-1.0"
"245","UNLV","32","11-21","377","410","-1.0"
"","Wyoming","32","18-14","400","433","-1.0"
"247","Missouri St.","33","17-16","371","406","-1.1"
"248","Appalachian St.","30","9-21","382","414","-1.1"
"249","Cal St. Fullerton","29","16-13","416","447","-1.1"
"250","Rider","33","18-15","445","481","-1.1"
"251","Alcorn","30","17-13","391","424","-1.1"
"","Sacramento St.","30","13-17","321","354","-1.1"
"253","Northern Colo.","29","11-18","375","407","-1.1"
"254","Samford","34","19-15","427","466","-1.1"
"255","Southern Utah","32","6-26","403","440","-1.2"
"","St. Mary's (CA)","32","28-4","300","337","-1.2"
"","Ohio St.","32","17-15","386","423","-1.2"
"258","Mercer","32","15-17","328","367","-1.2"
"259","Yale","27","17-10","329","362","-1.2"
"260","Georgia","31","18-13","373","411","-1.2"
"261","Utah","30","20-10","368","405","-1.2"
"262","BYU","33","22-11","407","449","-1.3"
"263","Seton Hall","30","20-10","370","409","-1.3"
"264","Portland","33","11-22","381","424","-1.3"
"265","Coastal Caro.","32","16-16","368","410","-1.3"
"266","Northern Ky.","34","24-10","415","460","-1.3"
"267","Southern U.","32","15-17","397","440","-1.3"
"","Ark.-Pine Bluff","32","7-25","535","578","-1.3"
"","Hartford","32","9-23","419","462","-1.3"
"270","Niagara","33","10-23","383","428","-1.4"
"271","Saint Francis (PA)","32","16-16","432","476","-1.4"
"272","Southern Miss.","31","9-22","362","405","-1.4"
"273","UT Martin","33","21-12","454","501","-1.4"
"274","Western Ky.","32","15-17","342","388","-1.4"
"275","William & Mary","31","17-14","343","388","-1.5"
"","Eastern Wash.","31","21-10","338","383","-1.5"
"277","SIUE","30","6-24","392","436","-1.5"
"","Washington","30","9-21","364","408","-1.5"
"279","Maine","32","7-25","371","419","-1.5"
"","South Dakota St.","34","18-16","389","440","-1.5"
"281","Lafayette","30","9-21","389","436","-1.6"
"282","California","31","20-11","347","396","-1.6"
"283","UConn","30","14-16","315","364","-1.6"
"284","Pepperdine","31","9-22","337","389","-1.7"
"285","Rice","32","22-10","426","481","-1.7"
"","Duquesne","32","10-22","399","454","-1.7"
"287","FIU","31","7-24","358","412","-1.7"
"","Quinnipiac","31","10-21","394","448","-1.7"
"289","Buffalo","31","17-14","398","453","-1.8"
"290","Vanderbilt","31","17-14","332","388","-1.8"
"291","Sacred Heart","32","13-19","458","516","-1.8"
"292","Siena","34","17-17","414","476","-1.8"
"293","Marist","32","8-24","350","409","-1.8"
"","USC Upstate","32","17-15","346","405","-1.8"
"295","Utah St.","29","13-16","318","372","-1.9"
"296","Wagner","30","16-14","366","422","-1.9"
"297","Ball St.","31","20-11","400","458","-1.9"
"298","Manhattan","32","10-22","469","530","-1.9"
"299","Georgetown","32","14-18","391","454","-2.0"
"","La.-Monroe","32","9-23","357","420","-2.0"
"301","Delaware","33","13-20","330","396","-2.0"
"302","New Hampshire","32","20-12","336","401","-2.0"
"303","UAB","32","17-15","369","435","-2.1"
"","Saint Louis","32","12-20","359","425","-2.1"
"305","Tulsa","30","14-16","382","444","-2.1"
"306","Bradley","33","13-20","430","499","-2.1"
"307","North Carolina St.","32","15-17","361","428","-2.1"
"308","Boston College","32","9-23","398","467","-2.2"
"309","San Diego","31","13-18","311","379","-2.2"
"","LSU","31","10-21","383","451","-2.2"
"","Norfolk St.","31","16-15","383","451","-2.2"
"312","Baylor","31","25-6","347","416","-2.2"
"313","Pittsburgh","33","16-17","322","396","-2.2"
"314","James Madison","33","10-23","390","467","-2.3"
"","Texas A&M","30","16-14","355","425","-2.3"
"316","Army West Point","32","13-19","407","483","-2.4"
"317","Washington St.","31","13-18","315","389","-2.4"
"318","Northern Ariz.","32","9-23","386","465","-2.5"
"319","Howard","33","10-23","412","494","-2.5"
"320","Central Ark.","32","8-24","366","446","-2.5"
"321","Longwood","30","6-24","380","456","-2.5"
"322","George Washington","31","18-13","333","412","-2.5"
"323","Jacksonville St.","34","20-14","375","463","-2.6"
"324","Western Caro.","32","9-23","431","516","-2.7"
"325","Denver","30","16-14","323","404","-2.7"
"326","George Mason","31","19-12","314","399","-2.7"
"327","East Carolina","31","14-17","349","435","-2.8"
"328","Western Ill.","28","8-20","289","369","-2.9"
"329","Colgate","32","10-22","378","470","-2.9"
"330","Toledo","32","17-15","335","428","-2.9"
"331","South Fla.","29","7-22","382","468","-3.0"
"332","UC Irvine","32","19-13","336","431","-3.0"
"333","Alabama St.","31","8-23","392","488","-3.1"
"334","Michigan St.","31","18-13","343","443","-3.2"
"335","Cornell","29","8-21","323","419","-3.3"
"336","Presbyterian","30","5-25","348","451","-3.4"
"337","Ill.-Chicago","33","15-18","413","531","-3.6"
"338","Oregon St.","32","5-27","376","491","-3.6"
"339","Alabama A&M","29","2-27","272","384","-3.9"
"340","Indiana","31","17-14","351","472","-3.9"
"341","North Florida","34","15-19","408","541","-3.9"
"342","Dartmouth","27","7-20","294","401","-4.0"
"343","Radford","32","14-18","327","470","-4.5"
"344","N.C. A&T","32","3-29","311","466","-4.8"
"345","UCF","30","20-10","292","445","-5.1"
Reclassifying
"NR","Grand Canyon","31","22-9","466","397","2.2"
"NR","Abilene Christian","29","13-16","428","412","0.6"
"NR","Incarnate Word","29","12-17","363","391","-1.0"
"NR","UMass Lowell","31","11-20","408","474","-2.1"

NCAA Men's Basketball
Division IPersonal Fouls Per Game
Through Games 03/08/2017


"Rank","Name","GM","W-L","Fouls","PFPG","DQ"
"1","SMU","31","27-4","447","14.4","5"
"2","Villanova","31","28-3","454","14.6","3"
"3","St. Mary's (CA)","32","28-4","472","14.8","7"
"4","Western Ky.","32","15-17","475","14.8","3"
"5","Notre Dame","31","23-8","468","15.1","4"
"6","Clemson","32","17-15","489","15.3","13"
"7","Michigan","31","20-11","474","15.3","10"
"8","UCF","30","20-10","460","15.3","9"
"9","UNI","30","14-16","464","15.5","8"
"10","Miami (FL)","31","21-10","481","15.5","7"
"11","Purdue","31","25-6","485","15.6","7"
"12","Cincinnati","31","27-4","486","15.7","3"
"13","Louisiana Tech","31","22-9","487","15.7","5"
"14","George Washington","31","18-13","489","15.8","4"
"15","New Hampshire","32","20-12","506","15.8","11"
"16","UAB","32","17-15","508","15.9","8"
"17","Vermont","33","28-5","524","15.9","8"
"18","Southern California","31","23-8","494","15.9","11"
"","Oregon","31","27-4","494","15.9","7"
"20","Yale","27","17-10","431","16.0","6"
"21","Iowa St.","30","20-10","479","16.0","7"
"22","Syracuse","32","18-14","514","16.1","2"
"23","UCLA","31","28-3","499","16.1","9"
"","Virginia","31","22-9","499","16.1","9"
"25","Holy Cross","32","15-17","516","16.1","11"
"26","Wisconsin","31","23-8","500","16.1","5"
"27","Saint Peter's","32","19-13","517","16.2","5"
"28","Washington St.","31","13-18","502","16.2","4"
"29","Princeton","27","21-6","438","16.2","4"
"30","Creighton","31","23-8","503","16.2","4"
"31","Saint Francis (PA)","32","16-16","521","16.3","6"
"32","Virginia Tech","31","22-9","507","16.4","7"
"33","Georgia Tech","32","17-15","525","16.4","5"
"34","Gonzaga","33","32-1","543","16.5","12"
"35","Arizona","31","27-4","514","16.6","7"
"","East Carolina","31","14-17","514","16.6","5"
"37","UNC Asheville","32","23-9","531","16.6","12"
"38","Texas A&M","30","16-14","498","16.6","8"
"39","Elon","32","18-14","532","16.6","4"
"40","Utah","30","20-10","500","16.7","11"
"41","South Dakota St.","34","18-16","567","16.7","11"
