NCAA Men's Basketball,,,,
Division IFewest Fouls,,,,
Through Games 03/08/2017,,,,
Rank,Name,GM,W-L,Fouls
334,Lamar University,32,19-13,692
335,Massachusetts,32,15-17,697
336,Prairie View,33,13-20,700
,Coppin St.,33,25-Aug,700
338,Lipscomb,33,20-13,702
339,Buffalo,31,17-14,705
340,Sam Houston St.,32,20-12,715
341,Ark.-Pine Bluff,32,25-Jul,718
342,Montana St.,32,16-16,732
343,The Citadel,33,21-Dec,738
344,Detroit Mercy,31,23-Aug,741
345,UTRGV,31,21-Oct,746
346,Southern Utah,32,26-Jun,780
347,Manhattan,32,22-Oct,793
NR,Grand Canyon,31,22-9,539
NR,Incarnate Word,29,17-Dec,583
NR,UMass Lowell,31,20-Nov,622
NR,Abilene Christian,29,13-16,631
      ,,,,
